ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration,Score,Rating count,Rank,Popularity
1,Cowboy Bebop,26,TV,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,Sunrise,Original,"Action, Award Winning, Sci-Fi",24 min. per ep.,8.75,988000,482,43
5,Cowboy Bebop: Tengoku no Tobira,1,Movie,"Sep 1, 2001","Sunrise, Bandai Visual",Bones,Original,"Action, Sci-Fi",1 hr. 55 min.,8.38,219779,2092,631
6,Trigun,26,TV,"Apr 1, 1998 to Sep 30, 1998",Victor Entertainment,Madhouse,Manga,"Action, Adventure, Sci-Fi",24 min. per ep.,8.22,380049,3602,258
7,Witch Hunter Robin,26,TV,"Jul 3, 2002 to Dec 25, 2002","Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,"Action, Drama, Mystery, Supernatural",25 min. per ep.,7.24,44600,30982,1908
8,Bouken Ou Beet,52,TV,"Sep 30, 2004 to Sep 29, 2005","TV Tokyo, Dentsu",Toei Animation,Manga,"Action, Adventure, Fantasy",23 min. per ep.,6.93,6891,45862,5485
15,Eyeshield 21,145,TV,"Apr 6, 2005 to Mar 19, 2008","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,Manga,,23 min. per ep.,7.91,90331,7812,1328
16,Hachimitsu to Clover,24,TV,"Apr 15, 2005 to Sep 27, 2005","Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",J.C.Staff,Manga,"Comedy, Drama, Romance",23 min. per ep.,7.99,84676,6682,925
17,Hungry Heart: Wild Striker,52,TV,"Sep 11, 2002 to Sep 10, 2003","None found, add some",Nippon Animation,Manga,"Comedy, Slice of Life, Sports",23 min. per ep.,7.54,13750,17782,4526
18,Initial D Fourth Stage,24,TV,"Apr 17, 2004 to Feb 18, 2006",OB Planning,A.C.G.T.,Manga,"Action, Drama",27 min. per ep.,8.17,109612,4342,1277
19,Monster,74,TV,"Apr 7, 2004 to Sep 28, 2005","VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,"Drama, Mystery, Suspense",24 min. per ep.,8.88,440783,262,126
20,Naruto,220,TV,"Oct 3, 2002 to Feb 8, 2007","TV Tokyo, Aniplex, Shueisha",Pierrot,Manga,"Action, Adventure, Fantasy",23 min. per ep.,8.00,2012004,6582,9
21,One Piece,Unknown,TV,"Oct 20, 1999 to ?","Fuji TV, TAP, Shueisha",Toei Animation,Manga,"Action, Adventure, Fantasy",24 min.,8.72,1383856,572,19
22,Tennis no Oujisama,178,TV,"Oct 10, 2001 to Mar 23, 2005","Production I.G, Nihon Ad Systems",Trans Arts,Manga,,22 min. per ep.,7.85,85698,9002,1319
23,Ring ni Kakero 1,12,TV,"Oct 6, 2004 to Dec 15, 2004","None found, add some",Toei Animation,Manga,,23 min. per ep.,6.36,1779,77972,8565
24,School Rumble,26,TV,"Oct 5, 2004 to Mar 29, 2005","TV Tokyo, Sotsu, Marvelous Entertainment, Starchild Records, Media Factory, DAX Production",Studio Comet,Manga,"Comedy, Romance",23 min. per ep.,7.89,151182,8292,752
25,Sunabouzu,24,TV,"Oct 6, 2004 to Mar 30, 2005","GDH, Pony Canyon, CBC Television, Omnibus Promotion, RKB Mainichi Broadcasting Corporation",Gonzo,Manga,"Action, Adventure, Comedy, Sci-Fi, Ecchi",24 min. per ep.,7.37,56088,24162,1664
26,Texhnolyze,22,TV,"Apr 17, 2003 to Sep 25, 2003","Group TAC, Rondo Robe, Fuji TV, Pioneer LDC, Geneon Entertainment USA",Madhouse,Original,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense",23 min. per ep.,7.76,59083,10962,969
27,Trinity Blood,24,TV,"Apr 29, 2005 to Oct 28, 2005","None found, add some",Gonzo,Light novel,"Action, Fantasy",24 min. per ep.,7.28,81450,28622,1317
28,Yakitate!! Japan,69,TV,"Oct 12, 2004 to Mar 14, 2006","TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,Manga,"Comedy, Gourmet",24 min. per ep.,7.91,41910,7752,2167
29,Zipang,26,TV,"Oct 8, 2004 to Apr 1, 2005","Marvelous Entertainment, Animax, Pony Canyon, TBS",Studio Deen,Manga,"Action, Drama, Sci-Fi",24 min. per ep.,7.49,8112,19382,4691
30,Shinseiki Evangelion,26,TV,"Oct 4, 1995 to Mar 27, 1996","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",Original,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",24 min. per ep.,8.35,1115935,2272,45
31,Shinseiki Evangelion Movie: Shi to Shinsei,1,Movie,"Mar 15, 1997","TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G, Tatsunoko Production",Original,"Action, Drama, Sci-Fi, Suspense",1 hr. 44 min.,7.48,148219,19882,941
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",1,Movie,"Jul 19, 1997","TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, King Records, Audio Tanaka","Gainax, Production I.G",Original,"Action, Avant Garde, Drama, Sci-Fi, Suspense",1 hr. 26 min.,8.55,639377,1182,178
33,Kenpuu Denki Berserk,25,TV,"Oct 8, 1997 to Apr 1, 1998","VAP, Hakusensha, Nippon Television Network",OLM,Manga,"Action, Adventure, Drama, Fantasy, Horror",23 min. per ep.,8.59,368996,992,310
43,Koukaku Kidoutai,1,Movie,"Nov 18, 1995","Bandai Visual, Kodansha",Production I.G,Manga,"Action, Award Winning, Mystery, Sci-Fi, Suspense",1 hr. 22 min.,8.27,338703,3092,337
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4,OVA,"Feb 20, 1999 to Sep 22, 1999",Aniplex,Studio Deen,Manga,"Action, Drama, Romance",29 min. per ep.,8.70,139783,612,902
45,Rurouni Kenshin: Meiji Kenkaku Romantan,94,TV,"Jan 10, 1996 to Sep 8, 1998","Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",Manga,"Action, Comedy, Romance",25 min. per ep.,8.28,240416,2942,460
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,1,Movie,"Dec 20, 1997","Fuji TV, Sony Music Entertainment",Gallop,Manga,,1 hr. 31 min.,7.55,28011,17382,3118
47,Akira,1,Movie,"Jul 16, 1988","Mainichi Broadcasting System, Kodansha, Pioneer LDC, Bandai, TOHO, Sumitomo, Hakuhodo",Tokyo Movie Shinsha,Manga,"Action, Adventure, Horror, Sci-Fi, Supernatural",2 hr. 4 min.,8.16,526593,4352,209
48,.hack//Sign,26,TV,"Apr 4, 2002 to Sep 26, 2002","Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,"Adventure, Fantasy, Mystery",24 min. per ep.,6.94,85534,45702,1334
49,Aa! Megami-sama!,5,OVA,"Feb 21, 1993 to May 17, 1994","Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,Manga,"Comedy, Romance, Supernatural",30 min. per ep.,7.28,27557,28672,3053
50,Aa! Megami-sama! (TV),24,TV,"Jan 7, 2005 to Jul 8, 2005","Bandai Visual, TBS, Imagine",AIC,Manga,"Comedy, Romance, Supernatural",24 min. per ep.,7.31,78726,27182,1504
51,Tenshi Kinryouku,3,OVA,"May 25, 2000 to Aug 25, 2000","Bandai Visual, Lantis, Audio Tanaka",HAL Film Maker,Manga,"Action, Drama, Romance, Supernatural",29 min. per ep.,6.24,27355,84982,3219
52,Kidou Tenshi Angelic Layer,26,TV,"Apr 1, 2001 to Sep 23, 2001","Dentsu, TV Tokyo Music",Bones,Manga,"Award Winning, Comedy, Drama, Sci-Fi",24 min. per ep.,7.26,29474,29932,2936
53,Ai Yori Aoshi,24,TV,"Apr 11, 2002 to Sep 26, 2002","Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,Manga,"Comedy, Drama, Romance",23 min. per ep.,7.10,54569,38252,1994
54,Appleseed (Movie),1,Movie,"Apr 17, 2004","Mainichi Broadcasting System, TOHO, TYO Animations, TYO, Geneon Entertainment",Digital Frontier,Manga,"Action, Sci-Fi",1 hr. 45 min.,7.05,42073,40552,2578
55,Arc the Lad,26,TV,"Apr 5, 1999 to Oct 11, 1999","Sony Pictures Entertainment, Aniplex, Sony Interactive Entertainment",Bee Train,Game,"Action, Adventure, Fantasy, Horror, Sci-Fi",22 min. per ep.,6.49,6396,70362,5328
56,Avenger,13,TV,"Oct 2, 2003 to Dec 25, 2003",Yomiko Advertising,Bee Train,Original,"Adventure, Fantasy, Sci-Fi",23 min. per ep.,5.86,7248,104562,5188
57,Beck,26,TV,"Oct 7, 2004 to Mar 31, 2005","Marvelous Entertainment, Starchild Records, Asatsu DK, Kodansha",Madhouse,Manga,,25 min. per ep.,8.29,143597,2862,709
58,Blue Gender,26,TV,"Oct 8, 1999 to Mar 31, 2000","Youmex, Toshiba EMI",AIC,Original,"Action, Adventure, Drama, Horror, Sci-Fi",23 min. per ep.,7.01,31136,42712,2414
59,Chobits,26,TV,"Apr 3, 2002 to Sep 25, 2002","TBS, Pioneer LDC",Madhouse,Manga,"Comedy, Drama, Romance, Sci-Fi, Ecchi",24 min. per ep.,7.39,257665,23662,475
60,Chrno Crusade,24,TV,"Nov 25, 2003 to Jun 10, 2004","Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,"Action, Romance, Supernatural",23 min. per ep.,7.60,105347,15592,1101
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
61,D.N.Angel,26,TV,"Apr 3, 2003 to Sep 25, 2003",Kadokawa Shoten,Xebec,Manga,"Action, Comedy, Fantasy, Romance",23 min. per ep.,7.16,99996,35212,1327
62,D.C.: Da Capo,26,TV,"Jul 5, 2003 to Dec 27, 2003","Lantis, King Records","feel., Zexcs",Visual novel,"Drama, Romance",23 min. per ep.,6.71,31184,57432,2536
63,DearS,12,TV,"Jul 11, 2004 to Sep 26, 2004","Bandai Visual, HAL Film Maker, Genco, Lantis",Daume,Manga,"Comedy, Romance, Sci-Fi, Ecchi",23 min. per ep.,6.55,80685,66752,1594
64,Rozen Maiden,12,TV,"Oct 8, 2004 to Dec 24, 2004","Mellow Head, Pony Canyon, TBS, Memory-Tech",Nomad,Manga,"Action, Comedy, Drama, Fantasy",24 min. per ep.,7.40,98905,23372,1203
65,Rozen Maiden: Träumend,12,TV,"Oct 21, 2005 to Jan 27, 2006","Mellow Head, TBS",Nomad,Manga,"Action, Comedy, Drama, Fantasy",24 min. per ep.,7.61,59966,15382,2069
66,Azumanga Daiou The Animation,26,TV,"Apr 9, 2002 to Oct 1, 2002","Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,4-koma manga,,24 min. per ep.,8.04,165391,5902,646
67,Basilisk: Kouga Ninpou Chou,24,TV,"Apr 13, 2005 to Sep 21, 2005","GDH, Kodansha, Sotsu Music Publishing, Future Vision Music",Gonzo,Manga,"Action, Drama, Romance",24 min. per ep.,7.53,79323,17822,1292
68,Black Cat (TV),23,TV,"Oct 7, 2005 to Mar 31, 2006","GDH, Dentsu, TBS, Sotsu Music Publishing, Future Vision Music",Gonzo,Manga,"Action, Adventure, Sci-Fi",24 min. per ep.,7.32,130729,26522,920
69,Cluster Edge,25,TV,"Oct 5, 2005 to Mar 29, 2006","Bandai Visual, Imagine",Sunrise,Original,"Action, Fantasy, Sci-Fi",24 min. per ep.,6.31,3370,80962,6258
71,Full Metal Panic!,24,TV,"Jan 8, 2002 to Jun 18, 2002","Kadokawa Shoten, KlockWorx",Gonzo,Light novel,"Action, Comedy, Sci-Fi",24 min. per ep.,7.59,244657,15722,456
72,Full Metal Panic? Fumoffu,12,TV,"Aug 26, 2003 to Nov 18, 2003","Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,Light novel,"Action, Comedy",24 min. per ep.,8.02,177328,6322,850
73,Full Metal Panic! The Second Raid,13,TV,"Jul 14, 2005 to Oct 20, 2005","WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures",Kyoto Animation,Light novel,,24 min. per ep.,7.91,150192,7822,953
74,Gakuen Alice,26,TV,"Oct 30, 2004 to May 14, 2005","Aniplex, Sogo Vision",Group TAC,Manga,"Comedy, Fantasy",25 min. per ep.,7.64,52515,14242,2134
75,Soukyuu no Fafner: Dead Aggressor,25,TV,"Jul 5, 2004 to Dec 27, 2004","TV Tokyo Music, King Records",Xebec,Original,"Action, Drama, Sci-Fi",24 min. per ep.,7.26,15644,30232,3234
76,Mahou Shoujo Lyrical Nanoha,13,TV,"Oct 3, 2004 to Dec 26, 2004","Starchild Records, Omnibus Promotion",Seven Arcs,Original,"Action, Comedy, Drama",25 min. per ep.,7.41,42967,22622,2082
77,Mahou Shoujo Lyrical Nanoha A's,13,TV,"Oct 2, 2005 to Dec 25, 2005","Starchild Records, Omnibus Promotion",Seven Arcs,Original,"Action, Comedy, Drama",25 min. per ep.,7.96,34520,6952,2775
79,Shuffle!,24,TV,"Jul 8, 2005 to Jan 6, 2006","Xebec, Lantis, Kadokawa Shoten, KlockWorx, Memory-Tech",asread.,Visual novel,"Comedy, Drama, Fantasy, Romance, Ecchi",24 min. per ep.,7.01,136929,42522,898
80,Kidou Senshi Gundam,43,TV,"Apr 7, 1979 to Jan 26, 1980","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,"Action, Drama, Sci-Fi",24 min. per ep.,7.75,62271,11242,1711
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,12,OVA,"Jan 25, 1996 to Jul 25, 1999",Atelier Musa,Sunrise,Original,"Action, Adventure, Drama, Romance, Sci-Fi",24 min. per ep.,8.00,47887,6562,2353
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,6,OVA,"Mar 25, 1989 to Aug 25, 1989",Bandai Visual,Sunrise,Original,"Action, Drama, Sci-Fi",27 min. per ep.,7.98,35050,6742,2854
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,1,Movie,"Aug 1, 1998","Sotsu, Atelier Musa",Sunrise,Original,"Drama, Romance, Sci-Fi",52 min.,6.75,6979,55232,5755
84,Kidou Senshi Gundam 0083: Stardust Memory,13,OVA,"May 23, 1991 to Sep 24, 1992",Bandai Visual,Sunrise,Original,"Action, Adventure, Drama, Romance, Sci-Fi",28 min. per ep.,7.22,26531,32142,3334
85,Kidou Senshi Zeta Gundam,50,TV,"Mar 2, 1985 to Feb 22, 1986","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,"Action, Drama, Romance, Sci-Fi",24 min. per ep.,7.89,40201,8232,2515
86,Kidou Senshi Gundam ZZ,47,TV,"Mar 1, 1986 to Jan 31, 1987","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,"Action, Comedy, Drama, Sci-Fi",24 min. per ep.,6.66,22824,60232,3407
87,Kidou Senshi Gundam: Gyakushuu no Char,1,Movie,"Mar 12, 1988","Sotsu, Nozomi Entertainment, Atelier Musa",Sunrise,Novel,"Action, Drama, Sci-Fi",1 hr. 59 min.,7.67,31240,13472,3145
88,Kidou Senshi Gundam F91,1,Movie,"Mar 16, 1991","Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network",Sunrise,Original,"Action, Drama, Sci-Fi",2 hr.,6.60,18639,63772,3952
89,Kidou Senshi Victory Gundam,51,TV,"Apr 2, 1993 to Mar 25, 1994","TV Asahi, Sotsu, Apollon",Sunrise,Original,"Action, Drama, Sci-Fi",24 min. per ep.,6.71,11838,57632,4237
90,Shin Kidou Senki Gundam Wing,49,TV,"Apr 7, 1995 to Mar 29, 1996",TV Asahi,Sunrise,Original,"Action, Drama, Sci-Fi",24 min. per ep.,7.67,91321,13322,1499
91,Shin Kidou Senki Gundam Wing: Endless Waltz,3,OVA,"Jan 25, 1997 to Jul 25, 1997","Bandai Visual, Sotsu",Sunrise,Original,"Action, Award Winning, Drama, Sci-Fi",30 min. per ep.,7.73,28259,11782,3251
92,Kidou Shinseiki Gundam X,39,TV,"Apr 5, 1996 to Dec 28, 1996","TV Asahi, Sotsu",Sunrise,Original,"Action, Adventure, Drama, Sci-Fi",24 min. per ep.,7.33,16708,26022,3778
93,Kidou Senshi Gundam SEED,50,TV,"Oct 5, 2002 to Sep 27, 2003","Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",Sunrise,Original,"Action, Award Winning, Drama, Romance, Sci-Fi",24 min. per ep.,7.74,97907,11662,1399
94,Kidou Senshi Gundam SEED Destiny,50,TV,"Oct 9, 2004 to Oct 1, 2005","Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,Original,"Action, Drama, Romance, Sci-Fi",24 min. per ep.,7.17,66865,34682,2017
95,Turn A Gundam,50,TV,"Apr 9, 1999 to Apr 14, 2000","Sotsu, Fuji TV, Nakamura Production",Sunrise,Original,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",24 min. per ep.,7.77,18053,10922,3206
96,Kidou Butouden G Gundam,49,TV,"Apr 1, 1994 to Mar 31, 1995","TV Asahi, Sotsu",Sunrise,Original,"Action, Drama, Romance, Sci-Fi",24 min. per ep.,7.58,38427,16152,2668
97,Last Exile,26,TV,"Apr 8, 2003 to Sep 30, 2003","GDH, Victor Entertainment, TV Tokyo Music",Gonzo,Original,"Action, Adventure, Sci-Fi",24 min. per ep.,7.78,72117,10622,1386
98,Mai-HiME,26,TV,"Oct 1, 2004 to Apr 1, 2005","Bandai Visual, TV Tokyo Music, Studio Zain",Sunrise,Original,"Action, Fantasy, Girls Love",23 min. per ep.,7.40,52570,23232,1935
99,Mai-Otome,26,TV,"Oct 7, 2005 to Mar 31, 2006","Bandai Visual, Lantis, TV Tokyo Music",Sunrise,Original,"Comedy, Drama, Fantasy",23 min. per ep.,7.27,25848,29262,3153
100,Shin Shirayuki-hime Densetsu Prétear,13,TV,"Apr 4, 2001 to Jun 27, 2001","Kadokawa Shoten, Rondo Robe",HAL Film Maker,Manga,"Drama, Romance",23 min. per ep.,7.16,29504,35002,2791
101,Air,12,TV,"Jan 7, 2005 to Mar 25, 2005","Pony Canyon, TBS, Movic",Kyoto Animation,Visual novel,"Drama, Romance, Supernatural",24 min. per ep.,7.27,155449,29512,841
102,Aishiteruze Baby★★,26,TV,"Apr 3, 2004 to Oct 9, 2004","Animax, Toei Video",TMS Entertainment,Manga,"Comedy, Drama, Romance",25 min. per ep.,7.44,54348,21322,2096
103,Akazukin Chacha,74,TV,"Jan 7, 1994 to Jun 30, 1995","Nihon Ad Systems, Shueisha",Gallop,Manga,"Adventure, Comedy, Fantasy, Romance",24 min. per ep.,7.40,6056,23012,5380
104,Ayashi no Ceres,24,TV,"Apr 20, 2000 to Sep 28, 2000","Bandai Visual, Shogakukan",Pierrot,Manga,"Adventure, Drama, Horror, Romance, Supernatural",21 min. per ep.,7.18,27995,34372,2846
105,Boys Be...,13,TV,"Apr 11, 2000 to Jul 4, 2000","None found, add some",HAL Film Maker,Manga,"Comedy, Romance",23 min. per ep.,6.39,9768,76002,4626
106,Hana yori Dango,51,TV,"Sep 8, 1996 to Aug 31, 1997","Asatsu DK, Asahi Broadcasting",Toei Animation,Manga,"Drama, Romance",25 min. per ep.,7.58,25997,16102,2844
107,Ou Dorobou Jing,13,TV,"May 15, 2002 to Aug 14, 2002",Aniplex,Studio Deen,Manga,"Adventure, Comedy, Fantasy, Sci-Fi",24 min. per ep.,7.18,14929,34092,3720
108,Ou Dorobou Jing in Seventh Heaven,3,OVA,"Jan 21, 2004 to Apr 28, 2004",Aniplex,Studio Deen,Manga,"Adventure, Comedy, Fantasy",28 min. per ep.,7.24,5613,30872,5896
109,Bakuretsu Tenshi,24,TV,"Apr 7, 2004 to Sep 15, 2004","GDH, TV Asahi, Imagica",Gonzo,Original,"Action, Adventure, Sci-Fi",23 min. per ep.,6.78,31844,53342,2632
110,Chuuka Ichiban!,52,TV,"Apr 27, 1997 to Sep 13, 1998","None found, add some",Nippon Animation,Manga,"Action, Comedy, Drama, Gourmet",23 min. per ep.,7.59,8506,15712,4984
111,Corrector Yui,52,TV,"Apr 9, 1999 to Oct 20, 2000","NHK, Studio Tron",Nippon Animation,Original,"Adventure, Comedy, Sci-Fi",25 min. per ep.,6.86,7530,49532,5264
112,Chou Henshin Cosprayers,8,TV,"Jan 13, 2004 to Mar 2, 2004",m.o.e.,"Imagin, Studio Live",Original,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",17 min. per ep.,4.83,3590,131392,6819
113,Uchuu no Stellvia,26,TV,"Apr 3, 2003 to Sep 25, 2003","Starchild Records, TV Tokyo Music",Xebec,Original,"Action, Romance, Sci-Fi",23 min. per ep.,7.33,10020,26302,4522
114,Sakigake!! Cromartie Koukou,26,TV,"Oct 3, 2003 to Mar 26, 2004",TV Tokyo Music,Production I.G,Manga,,11 min. per ep.,7.89,55486,8282,1667
115,Ijigen no Sekai El-Hazard,13,TV,"Jan 8, 1998 to Mar 26, 1998",Pioneer LDC,AIC,Original,"Adventure, Comedy, Fantasy",24 min. per ep.,6.78,5387,53522,6040
116,Shinpi no Sekai El-Hazard (TV),26,TV,"Oct 6, 1995 to Mar 29, 1996","TV Tokyo, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",AIC,Original,"Adventure, Comedy, Fantasy, Romance",23 min. per ep.,6.93,7634,46222,5135
117,Shinpi no Sekai El-Hazard,7,OVA,"May 26, 1995 to Jan 25, 1996",Pioneer LDC,AIC,Original,"Adventure, Comedy, Fantasy, Romance",34 min. per ep.,7.26,8348,30212,4957
118,Shinpi no Sekai El-Hazard Season 2,4,OVA,"Mar 21, 1997 to Oct 25, 1997",Pioneer LDC,AIC,Original,"Adventure, Comedy, Fantasy",30 min. per ep.,6.77,4725,53852,6656
119,Final Approach,13,TV,"Oct 3, 2004 to Dec 26, 2004","None found, add some","Trinet Entertainment, Zexcs",Visual novel,"Comedy, Drama, Romance",14 min. per ep.,6.50,18085,69582,3832
120,Fruits Basket,26,TV,"Jul 5, 2001 to Dec 27, 2001","TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,Manga,"Drama, Romance, Supernatural",24 min. per ep.,7.69,286452,13002,421
121,Fullmetal Alchemist,51,TV,"Oct 4, 2003 to Oct 2, 2004","Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones,Manga,"Action, Adventure, Award Winning, Drama, Fantasy",24 min. per ep.,8.11,901744,5022,83
122,Full Moon wo Sagashite,52,TV,"Apr 6, 2002 to Mar 29, 2003","TV Tokyo, Nihon Ad Systems",Studio Deen,Manga,"Comedy, Drama, Romance, Supernatural",24 min. per ep.,7.93,48714,7562,2011
123,Fushigi Yuugi,52,TV,"Apr 6, 1995 to Mar 28, 1996","TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",Pierrot,Manga,"Action, Adventure, Fantasy, Romance",23 min. per ep.,7.61,52772,15162,1881
124,Fushigi Yuugi: Eikouden,4,OVA,"Dec 21, 2001 to Jun 25, 2002","None found, add some",Pierrot,Manga,"Adventure, Drama, Fantasy, Romance",30 min. per ep.,6.80,9239,52562,5187
125,Futakoi,13,TV,"Oct 7, 2004 to Dec 30, 2004",Lantis,Telecom Animation Film,Original,"Comedy, Romance",24 min. per ep.,6.42,16514,74372,3843
126,Futakoi Alternative,13,TV,"Apr 7, 2005 to Jun 30, 2005",Lantis,"ufotable, feel., Studio Flag",Original,"Comedy, Drama, Romance",24 min. per ep.,6.85,12248,50182,4072
127,Gate Keepers,24,TV,"Apr 3, 2000 to Sep 18, 2000","Bandai Visual, Media Factory, Kadokawa Shoten, Pony Canyon",Gonzo,Game,"Action, Comedy, Fantasy, Sci-Fi",25 min. per ep.,6.91,9791,47242,4732
128,Gate Keepers 21,6,OVA,"Apr 24, 2002 to Jan 8, 2003","None found, add some",Gonzo,Game,"Action, Drama, Sci-Fi",25 min. per ep.,6.74,4907,55812,6315
129,Gensoumaden Saiyuuki,50,TV,"Apr 4, 2000 to Mar 27, 2001","TV Tokyo, Dentsu, Group TAC",Pierrot,Manga,"Action, Adventure, Drama, Fantasy",23 min. per ep.,7.54,21738,17762,3026
130,Saiyuuki Reload,25,TV,"Oct 2, 2003 to Mar 25, 2004","None found, add some",Pierrot,Manga,"Action, Adventure, Comedy, Drama, Supernatural",23 min. per ep.,7.36,13815,24732,3829
131,Saiyuuki Reload Gunlock,26,TV,"Apr 2, 2004 to Sep 24, 2004","None found, add some",Pierrot,Manga,"Action, Adventure, Comedy, Drama, Supernatural",24 min. per ep.,7.37,8800,24552,4637
132,GetBackers,49,TV,"Oct 5, 2002 to Sep 20, 2003","TBS, Kodansha, Rondo Robe, Rakuonsha",Studio Deen,Manga,"Action, Mystery, Supernatural",24 min. per ep.,7.57,54463,16552,1849
133,Green Green,12,TV,"Jul 13, 2003 to Sep 28, 2003","Pony Canyon, Memory-Tech, Pony Canyon Enterprises",Studio Matrix,Visual novel,"Comedy, Romance, Ecchi",24 min. per ep.,6.13,67073,90912,1912
134,Gunslinger Girl,13,TV,"Oct 9, 2003 to Feb 19, 2004","Marvelous Entertainment, Fuji TV",Madhouse,Manga,"Action, Drama, Sci-Fi, Suspense",24 min. per ep.,7.38,78765,23912,1284
135,Hikaru no Go,75,TV,"Oct 10, 2001 to Mar 26, 2003","TV Tokyo, Dentsu, Dream Force",Pierrot,Manga,"Comedy, Drama, Supernatural",23 min. per ep.,8.07,64379,5462,1674
136,Hunter x Hunter,62,TV,"Oct 16, 1999 to Mar 31, 2001",Fuji TV,Nippon Animation,Manga,"Action, Adventure, Fantasy",23 min. per ep.,8.42,295134,1832,376
137,Hunter x Hunter: Original Video Animation,8,OVA,"Jan 17, 2002 to Apr 17, 2002","None found, add some",Nippon Animation,Manga,"Action, Adventure, Fantasy",23 min. per ep.,8.31,67545,2622,1792
138,Hunter x Hunter: Greed Island,8,OVA,"Feb 5, 2003 to Apr 16, 2003","None found, add some",Nippon Animation,Manga,"Action, Adventure, Fantasy",23 min. per ep.,8.18,87875,4122,1519
139,Hunter x Hunter: Greed Island Final,14,OVA,"Mar 3, 2004 to Aug 18, 2004","None found, add some",Nippon Animation,Manga,"Action, Adventure, Fantasy",23 min. per ep.,8.25,80095,3232,1615
141,Jinki:Extend,12,TV,"Jan 6, 2005 to Mar 24, 2005","TV Asahi, GANSIS",feel.,Manga,,23 min. per ep.,6.05,4705,95242,6047
142,Kamikaze Kaitou Jeanne,44,TV,"Feb 13, 1999 to Jan 29, 2000","TV Asahi, Toei Advertising",Toei Animation,Manga,"Action, Drama, Mystery, Romance, Supernatural",24 min. per ep.,7.46,29186,20702,2980
143,Kannazuki no Miko,12,TV,"Oct 2, 2004 to Dec 18, 2004","Studio Fantasia, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment, Geneon Entertainment",TNK,Manga,"Drama, Girls Love, Supernatural",24 min. per ep.,6.80,31121,52642,2620
144,Kanon,13,TV,"Jan 31, 2002 to Mar 28, 2002","Movic, Fuji TV, Fujipacific Music",Toei Animation,Visual novel,"Drama, Romance, Supernatural",24 min. per ep.,7.06,27809,40062,2757
145,Kareshi Kanojo no Jijou,26,TV,"Oct 2, 1998 to Mar 26, 1999","TV Tokyo, SoftX, GANSIS","Gainax, J.C.Staff",Manga,"Comedy, Drama, Romance",24 min. per ep.,7.60,82731,15412,1061
