ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration (mins),Score,Scored By,Rank,Popularity,Year
1969.0,Kidou Senshi Z Gundam III: Hoshi no Kodou wa Ai,1.0,Movie,"Mar 4, 2006",Sotsu,Sunrise,Original,"Drama, Sci-Fi",98.0,7.06,5880.0,40152.0,6119.0,2006.0
1972.0,Meitantei Holmes,26.0,TV,"Nov 6, 1984 to May 21, 1985",UNKNOWN,"Gallop, TMS Entertainment",Novel,"Action, Adventure, Comedy, Mystery",25.0,7.38,4521.0,24032.0,5871.0,1984.0
1973.0,X Densha de Ikou,1.0,OVA,"Nov 6, 1987",UNKNOWN,Madhouse,Novel,"Avant Garde, Mystery, Supernatural",50.0,5.81,1880.0,106882.0,8954.0,1987.0
1974.0,Glass no Kamen (2005),51.0,TV,"Apr 6, 2005 to Mar 29, 2006","TMS Entertainment, MediaNet",Tokyo Movie Shinsha,Manga,"Drama, Romance",23.0,8.03,13092.0,6122.0,3610.0,2005.0
1975.0,Mutekiou Tri-Zenon,22.0,TV,"Oct 14, 2000 to Mar 17, 2001",UNKNOWN,E&G Films,Original,UNKNOWN,25.0,6.19,688.0,87402.0,11490.0,2000.0
1977.0,Hijikata Toshizou: Shiro no Kiseki,1.0,OVA,"Jan 12, 2004","Imagica, Beyond C.",Studio 4°C,Original,"Action, Drama",32.0,6.09,1233.0,93042.0,9900.0,2004.0
1978.0,Onkyou Seimeitai Noiseman,1.0,Movie,"Nov 22, 1997",Bandai Visual,Studio 4°C,Original,"Action, Fantasy, Sci-Fi",15.0,6.46,5164.0,72162.0,6285.0,1997.0
1979.0,Tobira wo Akete (1995),1.0,OVA,1995,UNKNOWN,Studio 4°C,Original,"Avant Garde, Fantasy",10.0,6.02,2133.0,96692.0,9125.0,1995.0
1980.0,Trava: Fist Planet,4.0,OVA,"Mar 2, 2002 to Jul 3, 2002",Grasshoppa!,Madhouse,Original,"Action, Comedy, Sci-Fi",13.0,6.5,6954.0,69422.0,5307.0,2002.0
1981.0,Twilight Q,2.0,OVA,"Feb 28, 1987 to Aug 28, 1987",UNKNOWN,"Ajia-do, Studio Deen",Original,"Mystery, Sci-Fi",30.0,6.31,2961.0,80972.0,7084.0,1987.0
1982.0,Osu,1.0,Movie,"Nov 5, 1962",UNKNOWN,Mushi Production,Original,UNKNOWN,3.0,5.16,2275.0,127562.0,9579.0,1962.0
1983.0,Black Jack: Futari no Kuroi Isha,1.0,Movie,"Dec 17, 2005","SKY Perfect Well Think, Nippon Television Network",Tezuka Productions,Manga,UNKNOWN,92.0,7.16,2332.0,35222.0,8387.0,2005.0
1984.0,Memory,1.0,Movie,"Sep 21, 1964",Mushi Production,UNKNOWN,Original,"Avant Garde, Comedy, Drama, Mystery",5.0,6.01,1820.0,97192.0,9977.0,1964.0
1985.0,UFO Robo Grendizer,74.0,TV,"Oct 5, 1975 to Feb 27, 1977","Fuji TV, Dynamic Planning",Toei Animation,Manga,"Action, Sci-Fi",25.0,7.55,6105.0,17132.0,5934.0,1975.0
1986.0,Wakusei Robo Danguard Ace,56.0,TV,"Mar 6, 1977 to Mar 26, 1978",UNKNOWN,Toei Animation,Original,UNKNOWN,25.0,6.1,634.0,92592.0,11343.0,1977.0
1988.0,Himawari!!,13.0,TV,"Jan 7, 2007 to Apr 1, 2007","Starchild Records, Tohokushinsha Film Corporation",Arms,Original,"Comedy, Romance",25.0,6.44,4020.0,73462.0,6176.0,2007.0
1989.0,Shizuku,1.0,Movie,"Oct 1, 1965",UNKNOWN,Mushi Production,Original,UNKNOWN,4.0,5.59,1621.0,116172.0,10405.0,1965.0
1990.0,Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,1.0,Movie,"Mar 15, 1997",UNKNOWN,J.C.Staff,Game,"Comedy, Fantasy",10.0,6.03,965.0,96282.0,11917.0,1997.0
1991.0,Juusou Kikou Dancougar Nova,12.0,TV,"Feb 15, 2007 to May 3, 2007","Sony Pictures Entertainment, Sega",Ashi Productions,Original,"Action, Sci-Fi",25.0,5.98,2387.0,98462.0,7900.0,2007.0
1992.0,Chou Kousoku Gran Doll,3.0,OVA,"Aug 23, 1997 to Dec 18, 1997",Bandai Visual,Zero-G Room,UNKNOWN,"Action, Comedy",29.0,5.53,1140.0,118202.0,10496.0,1997.0
1993.0,Hanoka Recap,1.0,TV Special,2006,RAMS,UNKNOWN,Original,UNKNOWN,9.0,3.88,599.0,135372.0,13666.0,2006.0
1994.0,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,1.0,Special,"Oct 24, 2003",Bee Train,UNKNOWN,Manga,"Adventure, Comedy, Fantasy, Sci-Fi",20.0,6.12,4753.0,91162.0,6108.0,2003.0
1995.0,Lingerie Senshi Papillon Rose,1.0,OVA,"Apr 25, 2003",UNKNOWN,Studio Kelmadick,Other,"Sci-Fi, Ecchi",24.0,4.6,3993.0,133512.0,6815.0,2003.0
1996.0,Full Moon wo Sagashite: Kawaii Kawaii Daibouken,1.0,Special,"Nov 1, 2002",Nihon Ad Systems,Studio Deen,Manga,"Comedy, Fantasy, Supernatural",10.0,6.69,4582.0,58612.0,6612.0,2002.0
1998.0,Amazing Nuts!,4.0,Music,"Dec 20, 2006",UNKNOWN,Studio 4°C,Original,"Adventure, Mystery, Romance, Sci-Fi",10.0,6.45,4604.0,,6708.0,2006.0
1999.0,Sakura Taisen: Kanzaki Sumire Intai Kinen - Su Mi Re,1.0,OVA,"Dec 18, 2002","Sega, Imagine",Radix,Game,"Drama, Sci-Fi",24.0,6.39,1373.0,76442.0,9764.0,2002.0
2000.0,Roujin Z,1.0,Movie,"Sep 14, 1991","TV Asahi, Kadokawa Shoten, Movic, Sony Music Entertainment, Tokyo Theatres",APPP,Original,"Award Winning, Comedy, Drama, Sci-Fi",79.0,7.04,13669.0,41532.0,3668.0,1991.0
2001.0,Tengen Toppa Gurren Lagann,27.0,TV,"Apr 1, 2007 to Sep 30, 2007","TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai",Gainax,Original,"Action, Adventure, Award Winning, Sci-Fi",24.0,8.63,916363.0,862.0,65.0,2007.0
2002.0,Heroic Age,26.0,TV,"Apr 2, 2007 to Oct 1, 2007",Starchild Records,Xebec,Original,"Action, Sci-Fi",23.0,7.5,47797.0,19082.0,1981.0,2007.0
2003.0,Tokyo Vice,1.0,OVA,"Jun 25, 1988",Polydor Records,J.C.Staff,Original,"Action, Mystery, Sci-Fi",53.0,5.27,1014.0,125192.0,10265.0,1988.0
2004.0,Hanada Shounen-shi,25.0,TV,"Oct 2, 2002 to Mar 26, 2003","VAP, Nippon Television Network",Madhouse,Manga,"Comedy, Drama, Slice of Life, Supernatural",23.0,7.98,4981.0,6732.0,5404.0,2002.0
2006.0,Yu☆Gi☆Oh! (Movie),1.0,Movie,"Mar 6, 1999",Shueisha,Toei Animation,Manga,"Adventure, Comedy, Fantasy",30.0,6.87,30570.0,49412.0,3095.0,1999.0
2007.0,Dousou Kai Again,2.0,OVA,"Jul 25, 2002 to Dec 20, 2002",Lemon Heart,Arms,Visual novel,UNKNOWN,27.0,5.65,839.0,,10938.0,2002.0
2008.0,Yawara! Sore Yuke Koshinuke Kids!!,1.0,Movie,"Aug 1, 1992",Kitty Films,Madhouse,Manga,"Comedy, Romance, Sports",60.0,6.23,1111.0,85342.0,10421.0,1992.0
2009.0,Yawara!: Zutto Kimi no Koto ga...,1.0,TV Special,"Jul 19, 1996",Kitty Films,Madhouse,Manga,"Comedy, Romance, Sports",92.0,7.17,1467.0,35012.0,9779.0,1996.0
2010.0,Taiho Shichau zo in America,1.0,TV Special,"Mar 29, 2002","TBS, Kodansha",Studio Deen,Manga,"Action, Comedy, Mystery",23.0,6.48,2215.0,71262.0,8294.0,2002.0
2011.0,Taiho Shichau zo Special,20.0,TV,"Mar 30, 1999 to Apr 30, 1999",TBS,Studio Deen,Manga,"Action, Comedy",8.0,7.01,2983.0,42672.0,7268.0,1999.0
2012.0,Jigoku Sensei Nube,49.0,TV,"Apr 13, 1996 to Jun 21, 1997",TV Asahi,Toei Animation,Manga,"Comedy, Horror, Supernatural",24.0,7.54,6983.0,17462.0,4806.0,1996.0
2013.0,Taiho Shichau zo The Movie,1.0,Movie,"Apr 29, 1999","Bandai Visual, Victor Entertainment, TBS",Studio Deen,Manga,"Action, Comedy, Drama",89.0,7.38,4296.0,24112.0,6585.0,1999.0
2014.0,Taiho Shichau zo: Second Season,26.0,TV,"Apr 7, 2001 to Sep 29, 2001",Kodansha,Studio Deen,Manga,"Action, Comedy",24.0,7.37,4652.0,24212.0,6146.0,2001.0
2015.0,Wind: A Breath of Heart,1.0,OVA,"Dec 27, 2002",Audio Tanaka,Ajia-do,Visual novel,UNKNOWN,16.0,5.94,1108.0,101102.0,10411.0,2002.0
